年份,考次,考科,題號,題目,選項A,選項B,選項C,選項D,正確答案,答案來源,圖片
民國105年,第1次,醫學(三),1,"51歲男性病患,因為近半年來右上背酸痛和右上肢麻痹和無力到院就醫。他因這些病症在他 院接受止痛藥物治療和手術治療頸椎椎間盤突出開刀,但症狀未見改善。到院前三個月,他 開始出現右眼皮下垂和視力模糊。他過去抽菸,一天一包達三十年之久。到院胸部X光和電腦 斷層檢查如圖。多次痰液微生物顯微鏡檢和培養均為陰性。以下何者是最有可能的診斷?",pancoast tumor,過敏性肺部氣管麴菌感染(allergic bronchopulmonary aspergillosis),肺膿瘍(lung abscess),肺部動脈靜脈畸形(arterio-venous malformation of the lung),A,原始,['images/105020_11_q001_i0.jpg']
民國105年,第1次,醫學(三),2,"85歲的陳婆婆最近3個月內跌倒了3次,還好都沒有明顯的受傷,今天來到門診做跌倒評估, 醫師發現她有使用安眠藥的習慣,白內障導致她視力不佳,下肢肌力也不足,下列各項醫療 建議,何者最不合適?","藥物調整,減少安眠藥使用,教導正確的睡眠衛生習慣","尋求眼科醫師幫忙,考慮開刀治療白內障",利用運動與復健增加下肢肌力,服用維生素B增加下肢肌力,D,原始,[]
民國105年,第1次,醫學(三),3,"胡女士64歲,有糖尿病和瓣膜性心臟病病史,一週前拔牙後便開始高燒合併運動氣促,尿量 減少。於急診室量得病人血壓為114/80 mmHg,體溫39℃,脈搏速128/min,呼吸速率 26/min,且在病人心尖(apex)可聽到明顯之收縮期雜音,由以上初步病史與身體診察,那 一個瓣膜最可能被感染?",主動脈瓣,肺動脈瓣,二尖瓣,三尖瓣,C,原始,[]
民國105年,第1次,醫學(三),4,"65歲男性患者二週前因急性心肌梗塞住院接受冠狀動脈支架置放後出院,今日因為胸痛與輕 微發燒(37.8攝氏度)而回診。沒有呼吸窘迫,肺部聽診沒有囉音,心臟沒有出現新的雜 音、奔馬音(gallop)或心包摩擦音(friction rub)。初步檢查排除了感染情況,心電圖與出 院之前做比較沒有變化。下列那一項治療較恰當?",給予類固醇,給予高劑量aspirin,給予抗凝血劑(anticoagulant),加重狹心症藥品(antianginal drugs),B,原始,[]
民國105年,第1次,醫學(三),5,"門診來了一位52歲男性進行體檢,身高167公分,體重87公斤,平日沒有不適。身體診察發 現血壓132/84毫米汞柱,心跳每分鐘72次,身體質量指數(BMI)31 kg/m2,其他身體檢查 正常。在目前的血壓值所處的範圍,考慮前面的敘述,下列那一種生活型態修正對於降低血 壓數值的效果最明顯?","每天慢走十分鐘,每週四次",每天作息正常,減重大約九公斤,每日限鹽小於六公克,C,原始,[]
民國105年,第1次,醫學(三),6,"病人在門診自訴吞嚥困難已有一年之久,且常伴隨中段胸骨後方有東西卡住的感覺。吞嚥困 難僅限於固態食物,喝流質東西則沒有困難。但並非每餐都會出現,時好時壞。病人也沒有 體重減輕之現象。身體診察沒有異常發現。關於這位病人之診斷,下列各項敘述,何者正","本病人之診斷,很可能是achalasia",本病人之致病機轉可能在於食道蠕動異常,鋇劑攝影(barium meal study)對本病人之診斷很有效益,"此等病人雖非食道癌,其治療仍以手術為主",C,原始,[]
民國105年,第1次,醫學(三),7,"許先生有肝硬化合併腹水,也出現肝腦病變。最近被發現有日夜昏睡、意識不清的現象,抽 血檢查發現NH = 110 µg/dL(normal range:19~60),下列何者不是此等病情常見的誘發 因子?",便秘,血鉀過高,腸胃道出血,感染,B,原始,[]
民國105年,第1次,醫學(三),8,"69歲男性退休高中老師,沒有糖尿病史,但是有慢性腎臟病史,3年前的血液肌酸酐2.6 mg/dL。4週前打噴嚏後出現眼眶周圍紫斑,3週前腹瀉、瀝青便(tarry stool)、少尿、水 腫、端坐呼吸。現在理學檢查身高160 cm,體重60 kg,肝脾明顯腫大,胸部X光心臟擴大, 兩側中心肺泡浸潤。腎臟超音波左腎長度11.5 cm,右腎長度11.0 cm,血中血色素7.5 g/dL,血中肌酸酐4.8 mg/dL,補體正常,尿液紅血球4~6/HPF,尿液蛋白質 4+。下列何者 是最可能的診斷?",類澱粉症(amyloidosis),冷凝球蛋白血症(cryoglobulinemia),韋氏肉芽腫(Wegener’s granulomatosis),全身性紅斑性狼瘡(SLE),A,原始,[]
民國105年,第1次,醫學(三),9,"一位罹患僵直性脊椎炎的患者,有一天突覺左眼腫脹、怕光及視力模糊。下列何者為首選治 療藥物?",methotrexate,hydroxychloroquine,local glucocorticoid administration,azathioprine,C,原始,[]
民國105年,第1次,醫學(三),10,"63歲男性為HBV帶原者。5年前開始有兩手小關節、手腕、手肘、膝蓋及腳踝關節酸痛,抽 血檢查發現RF:29.7 IU/mL(normal&lt; 10 IU/mL),ESR:18 mm/1h,CRP:1.0 mg/dL (normal&lt;0.8 mg/dL),ALT:62 U/L。下列何種檢查結果陽性對患者的鑑別診斷最有幫",anti-nuclear antibody,anti-SSA/anti-SSB antibody,anti-cyclic citrullinated peptide antibody,C3 and C4,C,原始,[]
